"id","geom","name","population","region"
1,"0101000020E6100000A835CD3B4ED1024076E09C11A56D4840","Paris","2148271","Île-de-France"
2,"0101000020E61000007B14AE47E17A15406744696FF0A54540","Marseille","868277","Provence-Alpes-Côte d’Azur"
3,"0101000020E61000005C8FC2F5285C1340E17A14AE47E14640","Lyon","518635","Auvergne-Rhône-Alpes"
4,"0101000020E6100000B4C876BE9F1AF73F4C37894160CD4540","Toulouse","486828","Occitanie"
5,"0101000020E6100000FFB27BF2B0101D40D200DE0209DA4540","Nice","341032","Provence-Alpes-Côte d’Azur"
6,"0101000020E61000002AA913D044D8F8BFF9A067B3EA9B4740","Nantes","314138","Pays de la Loire"
7,"0101000020E6100000DC68006F81040F4011363CBD52CE4540","Montpellier","290053","Occitanie"
8,"0101000020E61000005D6DC5FEB2FB1E40DFE00B93A94A4840","Strasbourg","284677","Grand Est"
9,"0101000020E61000008FC2F5285C8FE2BFEC51B81E856B4640","Bordeaux","257068","Nouvelle-Aquitaine"
10,"0101000020E6100000BADA8AFD65770840E3361AC05B504940","Lille","233098","Hauts-de-France"
11,"0101000020E61000003B70CE88D2DEFABFF46C567DAE0E4840","Rennes","217728","Bretagne"
12,"0101000020E61000004FAF946588231040C4B12E6EA3A14840","Reims","182211","Grand Est"
13,"0101000020E610000062A1D634EFB817401CEBE2361A904540","Toulon","176198","Provence-Alpes-Côte d’Azur"
14,"0101000020E6100000E4839ECDAA8F11401DC9E53FA4B74640","Saint-Étienne","173089","Auvergne-Rhône-Alpes"
15,"0101000020E61000009A9999999999B93F1F85EB51B8BE4840","Le Havre","169733","Normandie"
16,"0101000020E610000088855AD3BCE31640CBA145B6F3954640","Grenoble","157650","Auvergne-Rhône-Alpes"
17,"0101000020E6100000705F07CE19111440545227A089A84740","Dijon","156854","Bourgogne-Franche-Comté"
18,"0101000020E6100000B22E6EA301BCE1BF5BB1BFEC9EBC4740","Angers","154508","Pays de la Loire"
19,"0101000020E6100000DAACFA5C6D851340EEEBC03923E24640","Villeurbanne","150659","Auvergne-Rhône-Alpes"
20,"0101000020E61000008B6CE7FBA97111402506819543EB4540","Nîmes","149633","Occitanie"
21,"0101000020E6100000F085C954C1A80840B1BFEC9E3CE44640","Clermont-Ferrand","146734","Auvergne-Rhône-Alpes"
22,"0101000020E61000001361C3D32B65C93FF0164850FC004840","Le Mans","143252","Pays de la Loire"
23,"0101000020E6100000B98D06F016C8154041F163CC5DC34540","Aix-en-Provence","143097","Provence-Alpes-Côte d’Azur"
24,"0101000020E6100000F6285C8FC2F511C052B81E85EB314840","Brest","139602","Bretagne"
25,"0101000020E610000004E78C28ED0DE63F51DA1B7C61B24740","Tours","136463","Centre-Val de Loire"
26,"0101000020E61000003108AC1C5A6402401904560E2DF24840","Amiens","133891","Hauts-de-France"
27,"0101000020E6100000333333333333F43FA52C431CEBEA4640","Limoges","131479","Nouvelle-Aquitaine"
28,"0101000020E6100000D578E926318818406891ED7C3FF54640","Annecy","128199","Auvergne-Rhône-Alpes"
29,"0101000020E6100000E8D9ACFA5CED014042CF66D5E76A4840","Boulogne-Billancourt","121334","Île-de-France"
30,"0101000020E61000007C613255302A0740287E8CB96B594540","Perpignan","119188","Occitanie"
31,"0101000020E610000014AE47E17A1418401F85EB51B89E4740","Besançon","117912","Bourgogne-Franche-Comté"
32,"0101000020E61000004BEA043411B61840BADA8AFD658F4840","Metz","116581","Grand Est"
33,"0101000020E610000025068195438BFE3FEC51B81E85F34740","Orléans","116238","Centre-Val de Loire"
34,"0101000020E6100000696FF085C9D402409D11A5BDC1774840","Saint-Denis","112091","Île-de-France"
35,"0101000020E610000042CF66D5E76AF13F9B559FABADB84840","Rouen","111360","Normandie"
36,"0101000020E610000000000000000002409A99999999794840","Argenteuil","110213","Île-de-France"
37,"0101000020E6100000780B24287E8C0340F54A5986386E4840","Montreuil","109914","Île-de-France"
38,"0101000020E61000005C8FC2F5285C1D400000000000E04740","Mulhouse","108942","Grand Est"
39,"0101000020E6100000AE47E17A14AED7BFD7A3703D0A974840","Caen","105512","Normandie"
40,"0101000020E6100000CC5D4BC807BD1840B84082E2C7584840","Nancy","104885","Grand Est"
41,"0101000020E610000032772D211F7409401C7C613255584940","Roubaix","98089","Hauts-de-France"
42,"0101000020E6100000EEEBC039234A094086C954C1A85C4940","Tourcoing","97442","Hauts-de-France"
43,"0101000020E6100000C1A8A44E4093014089D2DEE00B734840","Nanterre","96807","Île-de-France"
44,"0101000020E61000004DF38E5374240340CDCCCCCCCC644840","Vitry-sur-Seine","94649","Île-de-France"
45,"0101000020E6100000DDB5847CD0B30340CCEEC9C342654840","Créteil","92265","Île-de-France"
46,"0101000020E61000007B14AE47E13A13409A99999999F94540","Avignon","91729","Provence-Alpes-Côte d’Azur"
47,"0101000020E6100000C3F5285C8FC2D53F0AD7A3703D4A4740","Poitiers","88665","Nouvelle-Aquitaine"
48,"0101000020E6100000E3C798BB9610034022FDF675E0744840","Aubervilliers","87572","Île-de-France"
49,"0101000020E610000085EB51B81E050340E9B7AF03E7844940","Dunkerque","86865","Hauts-de-France"
50,"0101000020E61000003F575BB1BFEC03404703780B24784840","Aulnay-sous-Bois","86278","Île-de-France"
51,"0101000020E6100000DC68006F81040240F54A598638764840","Colombes","86052","Île-de-France"
52,"0101000020E610000014AE47E17A14014002BC051214674840","Versailles","85205","Île-de-France"
53,"0101000020E6100000D8F0F44A59060240A52C431CEB724840","Courbevoic","82198","Île-de-France"
54,"0101000020E6100000A69BC420B0720140E3A59BC420704840","Rueil-Malmaison","77986","Île-de-France"
55,"0101000020E61000008D976E1283C00940780B24287EAC4540","Béziers","77599","Occitanie"
56,"0101000020E6100000728A8EE4F21F0440462575029A684840","Champigny-sur-Marne","77039","Île-de-France"
57,"0101000020E6100000AE47E17A14AED7BF6666666666A64540","Pau","76275","Nouvelle-Aquitaine"
58,"0101000020E6100000E8D9ACFA5C6DF2BF956588635D144740","La Rochelle","76114","Nouvelle-Aquitaine"
59,"0101000020E6100000567DAEB662FF034011363CBD52664840","Saint-Maur-des-Fossés","75298","Île-de-France"
60,"0101000020E6100000228E75711B0D1C40742497FF90C64540","Cannes","73965","Provence-Alpes-Côte d’Azur"
61,"0101000020E6100000DDB5847CD0B3FD3F36AB3E575B794940","Calais","72929","Hauts-de-France"
62,"0101000020E6100000C9E53FA4DF7E1C4027C286A757CA4540","Antibes","72915","Provence-Alpes-Côte d’Azur"
63,"0101000020E61000009A99999999990340D7A3703D0A774840","Drancy","72109","Île-de-France"
64,"0101000020E610000045D8F0F44A792140029A081B9EF64440","Ajaccio","70817","Corsica"
65,"0101000020E61000004694F6065F98E4BF7A36AB3E576B4640","Mérignac","70813","Nouvelle-Aquitaine"
66,"0101000020E610000097900F7A36AB01C0F9A067B3EAA34740","Saint-Nazaire","70619","Pays de la Loire"
67,"0101000020E610000095D40968226C1D40A60A4625750A4840","Colmar","68703","Grand Est"
68,"0101000020E6100000295C8FC2F52802405396218E75694840","Issy-les-Moulineaux","68260","Île-de-France"
69,"0101000020E610000095D40968226C04403FC6DCB5846C4840","Noisy-le-Grand","68126","Île-de-France"
70,"0101000020E6100000EB73B515FB8B13400C93A98251D94640","Vénissieux","67129","Auvergne-Rhône-Alpes"
71,"0101000020E61000005305A3923A8100405BB1BFEC9E844840","Cergy","66322","Île-de-France"
72,"0101000020E6100000234A7B832F4C0240C3F5285C8F724840","Levallois-Perret","65817","Île-de-France"
73,"0101000020E6100000705F07CE19911340ACADD85F76774640","Valence","64726","Auvergne-Rhône-Alpes"
74,"0101000020E6100000401361C3D32B034026E4839ECD8A4740","Bourges","64668","Centre-Val de Loire"
75,"0101000020E6100000E02D90A0F831E4BF73D712F241674640","Pessac","64374","Nouvelle-Aquitaine"
76,"0101000020E6100000567DAEB662FF0240BADA8AFD65674840","Ivry-sur-Seine","63309","Île-de-France"
77,"0101000020E61000006D567DAEB66210C02BF697DD93FF4740","Quimper","63166","Bretagne"
78,"0101000020E6100000D578E92631881740CDCCCCCCCC8C4540","La Seyne-sur-Mer","62888","Provence-Alpes-Côte d’Azur"
79,"0101000020E6100000E17A14AE476102402A3A92CB7F604840","Antony","62858","Île-de-France"
80,"0101000020E610000088F4DBD7817302404F401361C3734840","Clichy","62485","Île-de-France"
81,"0101000020E6100000705F07CE195110403C4ED1915C264840","Troyes","61996","Grand Est"
82,"0101000020E61000009A9999999999F9BF454772F90FD14840","Cherbourg","60991","Normandie"
83,"0101000020E610000036AB3E575BB1F53F5F07CE1951024640","Montauban","60952","Occitanie"
84,"0101000020E610000012A5BDC117260240EFC9C342AD714840","Neuilly-sur-Seine","59940","Île-de-France"
85,"0101000020E6100000F46C567DAE360340FBCBEEC9C3724840","Pantin","59060","Île-de-France"
86,"0101000020E61000000A68226C787ADDBFB6847CD0B3294740","Niort","59059","Nouvelle-Aquitaine"
87,"0101000020E6100000A1F831E6AEA51740295C8FC2F5C84640","Chambéry","58833","Auvergne-Rhône-Alpes"
88,"0101000020E6100000CE88D2DEE00B0340E5F21FD26F7F4840","Sarcelles","58811","Île-de-France"
89,"0101000020E6100000C5FEB27BF2B00340AA60545227784840","Le Blanc-Mesnil","57150","Île-de-France"
90,"0101000020E6100000E17A14AE47E10AC00000000000E04740","Lorient","57084","Bretagne"
91,"0101000020E610000034A2B437F8C2004002BC051214B74840","Beauvais","56605","Hauts-de-France"
92,"0101000020E6100000AA8251499D800340F38E537424674840","Maisons-Alfort","55899","Île-de-France"
93,"0101000020E61000005E4BC8073D1B0740A52C431CEB7A4840","Meaux","55416","Île-de-France"
94,"0101000020E6100000462575029A080840D6C56D3480974540","Narbonne","55375","Occitanie"
95,"0101000020E6100000CDCCCCCCCCCC0440454772F90F714840","Chelles","55148","Île-de-France"
96,"0101000020E6100000499D8026C28618402C6519E2588F4540","Hyères","55069","Provence-Alpes-Côte d’Azur"
97,"0101000020E6100000D49AE61DA7E80240E8D9ACFA5C654840","Villejuif","54964","Île-de-France"
98,"0101000020E6100000B7627FD93D79024035EF3845477A4840","Épinay-sur-Seine","54771","Île-de-France"
99,"0101000020E610000037894160E5D0F6BFE7FBA9F1D2554740","La Roche-sur-Yon","54766","Pays de la Loire"
100,"0101000020E6100000DC68006F818403406ADE718A8E744840","Bobigny","54272","Île-de-France"
101,"0101000020E61000002575029A081BECBF48E17A14AE874740","Cholet","54186","Pays de la Loire"
102,"0101000020E61000000612143FC6DC0340C139234A7B734840","Bondy","54055","Île-de-France"
103,"0101000020E61000005F984C158C4A0A405BB1BFEC9EEC4840","Saint-Quentin","53856","Hauts-de-France"
104,"0101000020E6100000A69BC420B0F21A408195438B6CB74540","Fréjus","53786","Provence-Alpes-Côte d’Azur"
105,"0101000020E61000001D386744696F0340B9FC87F4DB4F4840","Évry","53641","Île-de-France"
106,"0101000020E6100000BE30992A181506C024B9FC87F4D34740","Vannes","53438","Bretagne"
107,"0101000020E6100000431CEBE2361A0240D881734694664840","Clamart","52926","Île-de-France"
108,"0101000020E6100000FFB27BF2B0500140D5E76A2BF6774840","Sartrouville","52269","Île-de-France"
109,"0101000020E6100000A835CD3B4ED1034069006F81046D4840","Fontenay-sous-Bois","52256","Île-de-France"
110,"0101000020E6100000AE47E17A14AEF7BF1F85EB51B8BE4540","Bayonne","51411","Nouvelle-Aquitaine"
111,"0101000020E6100000637FD93D79981C4030BB270F0BD54540","Cagnes-sur-Mer","51411","Provence-Alpes-Côte d’Azur"
112,"0101000020E610000087A757CA32440440ACADD85F76774840","Sevran","51225","Île-de-France"
113,"0101000020E610000017B7D100DE821240029A081B9ED64540","Arles","51031","Provence-Alpes-Côte d’Azur"
114,"0101000020E61000004260E5D022DB0340D8817346944E4840","Corbeil-Essonnes","50954","Île-de-France"
115,"0101000020E6100000226C787AA5AC134033C4B12E6EE34640","Vaulx-en-Velin","50823","Auvergne-Rhône-Alpes"
116,"0101000020E6100000EA95B20C71AC02400612143FC6744840","Saint-Ouen","50670","Île-de-France"
117,"0101000020E6100000083D9B559F2B0240BD5296218E5D4840","Massy","50632","Île-de-France"
118,"0101000020E6100000C139234A7B8303403FC6DCB5846C4840","Vincennes","49635","Île-de-France"
119,"0101000020E6100000ED9E3C2CD49AE8BFFE65F7E461094840","Laval","49573","Pays de la Loire"
120,"0101000020E6100000401361C3D32B014090A0F831E6F64540","Albi","48993","Occitanie"
121,"0101000020E610000009F9A067B3AA1B40211FF46C56D54540","Grasse","48865","Provence-Alpes-Côte d’Azur"
122,"0101000020E6100000C3F5285C8FC201408FC2F5285C6F4840","Suresnes","48763","Île-de-France"
123,"0101000020E6100000C1A8A44E40930240462575029A684840","Montrouge","48734","Île-de-France"
124,"0101000020E6100000713D0AD7A3301440CE88D2DEE0B34540","Martigues","48420","Provence-Alpes-Côte d’Azur"
125,"0101000020E610000011C7BAB88DE62240B6847CD0B3594540","Bastia","48044","Corsica"
126,"0101000020E61000006666666666660240ACADD85F76774840","Gennevilliers","47702","Île-de-France"
127,"0101000020E61000002A3A92CB7F481640A1D634EF38A54540","Aubagne","47208","Provence-Alpes-Côte d’Azur"
128,"0101000020E61000006666666666661B4052B81E85EBD14740","Belfort","46954","Bourgogne-Franche-Comté"
129,"0101000020E6100000666666666666F23FC3F5285C8F824840","Évreux","46707","Normandie"
130,"0101000020E6100000C139234A7B83F83F787AA52C43944640","Brive-la-Gaillarde","46630","Nouvelle-Aquitaine"
131,"0101000020E6100000CDCCCCCCCCCC02407B14AE47E19A4540","Carcassonne","46513","Occitanie"
132,"0101000020E6100000F31FD26F5FC71340B7627FD93DD94640","Saint-Priest","46510","Auvergne-Rhône-Alpes"
133,"0101000020E61000008FC2F5285C0F00C0D044D8F0F4524840","Saint-Malo","46478","Bretagne"
134,"0101000020E610000093A9825149DD124026E4839ECDE24840","Charleville-Mézières","46391","Grand Est"
135,"0101000020E61000001361C3D32B65FABF091B9E5E299B4740","Saint-Herblain","46352","Pays de la Loire"
136,"0101000020E61000001283C0CAA14503408B6CE7FBA9614840","Choisy-le-Roi","46154","Île-de-France"
137,"0101000020E61000002041F163CCDD0340BBB88D06F06E4840","Rosny-sous-Bois","46043","Île-de-France"
138,"0101000020E6100000E4141DC9E53FF53F158C4AEA04CC4740","Blois","45871","Centre-Val de Loire"
139,"0101000020E6100000F241CF66D5E7014039454772F9674840","Meudon","45748","Île-de-France"
